n,repetitions,time
     0,     1798,0.000001
    10,     1484,0.000001
    20,     1412,0.000001
    30,     1260,0.000001
    40,     1159,0.000001
    50,     1096,0.000001
    60,     1020,0.000001
    70,      953,0.000001
    80,      891,0.000001
    90,      839,0.000001
   100,      758,0.000001
   200,      512,0.000002
   300,      379,0.000003
   400,      300,0.000003
   500,      248,0.000004
   600,      211,0.000005
   700,      181,0.000006
   800,      165,0.000006
   900,      148,0.000007
  1000,      131,0.000008
