n,repetitions,time
     0,     1422,0.000001
    10,     1106,0.000001
    20,      799,0.000001
    30,      556,0.000002
    40,      358,0.000003
    50,      249,0.000004
    60,      176,0.000006
    70,      131,0.000008
    80,      106,0.000009
    90,       87,0.000012
   100,       72,0.000014
   200,       21,0.000049
   300,       10,0.000106
   400,        6,0.000184
   500,        4,0.000285
   600,        3,0.000405
   700,        2,0.000549
   800,        2,0.000714
   900,        2,0.000901
  1000,        1,0.001136
